model,zone,bin,n,acc
lora_base,beg,1k,116,0.896551724137931
lora_base,beg,2k,203,0.7832512315270936
lora_base,beg,4k,227,0.7973568281938326
lora_base,beg,8k,227,0.73568281938326
lora_base,beg,16k,227,0.8105726872246696
lora_base,beg,32k,227,0.7136563876651982
lora_base,beg,64k,227,0.6431718061674009
lora_base,beg,128k,227,0.5947136563876652
lora_base,mid,1k,104,0.9134615384615384
lora_base,mid,2k,202,0.8663366336633663
lora_base,mid,4k,227,0.775330396475771
lora_base,mid,8k,227,0.8502202643171806
lora_base,mid,16k,227,0.5594713656387665
lora_base,mid,32k,227,0.7577092511013216
lora_base,mid,64k,227,0.7092511013215859
lora_base,mid,128k,227,0.5462555066079295
lora_base,end,1k,108,0.9074074074074074
lora_base,end,2k,202,0.905940594059406
lora_base,end,4k,227,0.9118942731277533
lora_base,end,8k,227,0.8634361233480177
lora_base,end,16k,227,0.8766519823788547
lora_base,end,32k,227,0.8458149779735683
lora_base,end,64k,227,0.775330396475771
lora_base,end,128k,227,0.7136563876651982
y2_base,beg,1k,116,0.8017241379310345
y2_base,beg,2k,203,0.7980295566502463
y2_base,beg,4k,227,0.7533039647577092
y2_base,beg,8k,227,0.7180616740088106
y2_base,beg,16k,227,0.7268722466960352
y2_base,beg,32k,227,0.6475770925110133
y2_base,beg,64k,227,0.5991189427312775
y2_base,beg,128k,227,0.5462555066079295
y2_base,mid,1k,104,0.7980769230769231
y2_base,mid,2k,202,0.7871287128712872
y2_base,mid,4k,227,0.7444933920704846
y2_base,mid,8k,227,0.73568281938326
y2_base,mid,16k,227,0.5550660792951542
y2_base,mid,32k,227,0.7268722466960352
y2_base,mid,64k,227,0.6563876651982379
y2_base,mid,128k,227,0.47577092511013214
y2_base,end,1k,108,0.7962962962962963
y2_base,end,2k,202,0.8564356435643564
y2_base,end,4k,227,0.8678414096916299
y2_base,end,8k,227,0.8722466960352423
y2_base,end,16k,227,0.8458149779735683
y2_base,end,32k,227,0.8414096916299559
y2_base,end,64k,227,0.7841409691629956
y2_base,end,128k,227,0.6431718061674009
y2_rpe_cur_L16k,beg,1k,116,0.8362068965517241
y2_rpe_cur_L16k,beg,2k,203,0.8374384236453202
y2_rpe_cur_L16k,beg,4k,227,0.7797356828193832
y2_rpe_cur_L16k,beg,8k,227,0.775330396475771
y2_rpe_cur_L16k,beg,16k,227,0.8105726872246696
y2_rpe_cur_L16k,beg,32k,227,0.7665198237885462
y2_rpe_cur_L16k,beg,64k,227,0.6079295154185022
y2_rpe_cur_L16k,beg,128k,227,0.7004405286343612
y2_rpe_cur_L16k,mid,1k,104,0.875
y2_rpe_cur_L16k,mid,2k,202,0.8217821782178217
y2_rpe_cur_L16k,mid,4k,227,0.8414096916299559
y2_rpe_cur_L16k,mid,8k,227,0.8546255506607929
y2_rpe_cur_L16k,mid,16k,227,0.7444933920704846
y2_rpe_cur_L16k,mid,32k,227,0.7400881057268722
y2_rpe_cur_L16k,mid,64k,227,0.7268722466960352
y2_rpe_cur_L16k,mid,128k,227,0.5682819383259912
y2_rpe_cur_L16k,end,1k,108,0.8611111111111112
y2_rpe_cur_L16k,end,2k,202,0.8663366336633663
y2_rpe_cur_L16k,end,4k,227,0.8678414096916299
y2_rpe_cur_L16k,end,8k,227,0.8854625550660793
y2_rpe_cur_L16k,end,16k,227,0.9074889867841409
y2_rpe_cur_L16k,end,32k,227,0.9030837004405287
y2_rpe_cur_L16k,end,64k,227,0.8854625550660793
y2_rpe_cur_L16k,end,128k,227,0.8237885462555066
