zone,bin,n,y2_rpe_cur_L16k_only,y2_base_only,both_correct,both_wrong,net_a_minus_b
beg,1k,116,11,7,86,12,4
beg,2k,203,28,20,142,13,8
beg,4k,227,29,23,148,27,6
beg,8k,227,34,21,142,30,13
beg,16k,227,43,24,141,19,19
beg,32k,227,50,23,124,30,27
beg,64k,227,38,36,100,53,2
beg,128k,227,56,21,103,47,35
mid,1k,104,15,7,76,6,8
mid,2k,202,26,19,140,17,7
mid,4k,227,39,17,152,19,22
mid,8k,227,42,15,152,18,27
mid,16k,227,58,15,111,43,43
mid,32k,227,29,26,139,33,3
mid,64k,227,33,17,132,45,16
mid,128k,227,49,28,80,70,21
end,1k,108,17,10,76,5,7
end,2k,202,18,16,157,11,2
end,4k,227,18,18,179,12,0
end,8k,227,17,14,184,12,3
end,16k,227,30,16,176,5,14
end,32k,227,24,10,181,12,14
end,64k,227,40,17,161,9,23
end,128k,227,54,13,133,27,41
