model,rank,layer,head_idx,score
zero_shot,1,19,15,0.3804
zero_shot,2,19,22,0.3520
zero_shot,3,16,0,0.3288
zero_shot,4,16,20,0.3113
zero_shot,5,21,25,0.3112
zero_shot,6,21,5,0.3063
zero_shot,7,14,7,0.3063
zero_shot,8,19,17,0.3054
zero_shot,9,22,7,0.2947
zero_shot,10,19,20,0.2934
zero_shot,11,17,18,0.2913
zero_shot,12,16,14,0.2856
zero_shot,13,19,23,0.2767
zero_shot,14,16,1,0.2738
zero_shot,15,21,14,0.2729
zero_shot,16,19,25,0.2702
lora_base,1,19,22,0.4069
lora_base,2,19,20,0.3688
lora_base,3,19,15,0.3561
lora_base,4,19,17,0.3412
lora_base,5,19,23,0.3215
lora_base,6,21,5,0.3034
lora_base,7,19,6,0.2944
lora_base,8,19,18,0.2766
lora_base,9,21,4,0.2402
lora_base,10,19,24,0.2396
lora_base,11,16,0,0.2259
lora_base,12,21,22,0.2250
lora_base,13,20,21,0.2236
lora_base,14,21,25,0.2057
lora_base,15,18,10,0.2049
lora_base,16,18,16,0.2045
y2_base,1,19,22,0.3263
y2_base,2,19,15,0.3248
y2_base,3,19,20,0.3179
y2_base,4,19,17,0.3026
y2_base,5,21,5,0.2902
y2_base,6,19,6,0.2794
y2_base,7,19,23,0.2232
y2_base,8,19,18,0.2010
y2_base,9,21,25,0.2000
y2_base,10,22,7,0.1927
y2_base,11,16,0,0.1878
y2_base,12,20,21,0.1791
y2_base,13,22,25,0.1762
y2_base,14,16,20,0.1654
y2_base,15,22,1,0.1604
y2_base,16,16,14,0.1566
y2_rpe_cur_L16k,1,19,20,0.3590
y2_rpe_cur_L16k,2,19,22,0.3412
y2_rpe_cur_L16k,3,19,15,0.3320
y2_rpe_cur_L16k,4,21,5,0.3030
y2_rpe_cur_L16k,5,19,17,0.2953
y2_rpe_cur_L16k,6,19,23,0.2872
y2_rpe_cur_L16k,7,19,6,0.2811
y2_rpe_cur_L16k,8,16,0,0.2110
y2_rpe_cur_L16k,9,16,20,0.1968
y2_rpe_cur_L16k,10,24,21,0.1939
y2_rpe_cur_L16k,11,20,17,0.1935
y2_rpe_cur_L16k,12,18,10,0.1878
y2_rpe_cur_L16k,13,21,25,0.1865
y2_rpe_cur_L16k,14,19,18,0.1816
y2_rpe_cur_L16k,15,21,14,0.1813
y2_rpe_cur_L16k,16,19,19,0.1719
