head,layer,head_idx,n_models_top16,mean_score,zero_shot,lora,yarn,rpe_yarn
19-22,19,22,4,0.3566,0.3520,0.4069,0.3263,0.3412
19-15,19,15,4,0.3483,0.3804,0.3561,0.3248,0.3320
19-20,19,20,4,0.3348,0.2934,0.3688,0.3179,0.3590
19-17,19,17,4,0.3111,0.3054,0.3412,0.3026,0.2953
21-5,21,5,4,0.3007,0.3063,0.3034,0.2902,0.3030
19-23,19,23,4,0.2772,0.2767,0.3215,0.2232,0.2872
16-0,16,0,4,0.2384,0.3288,0.2259,0.1878,0.2110
21-25,21,25,4,0.2259,0.3112,0.2057,0.2000,0.1865
19-6,19,6,3,0.2532,0.1577,0.2944,0.2794,0.2811
19-18,19,18,3,0.2307,0.2635,0.2766,0.2010,0.1816
16-20,16,20,3,0.2142,0.3113,0.1832,0.1654,0.1968
22-7,22,7,2,0.2136,0.2947,0.1974,0.1927,0.1695
16-14,16,14,2,0.2021,0.2856,0.1946,0.1566,0.1716
20-21,20,21,2,0.1980,0.2272,0.2236,0.1791,0.1620
21-14,21,14,2,0.1926,0.2729,0.1831,0.1333,0.1813
18-10,18,10,2,0.1908,0.2373,0.2049,0.1331,0.1878
20-17,20,17,1,0.1919,0.2160,0.2024,0.1556,0.1935
24-21,24,21,1,0.1892,0.2502,0.1621,0.1507,0.1939
22-25,22,25,1,0.1880,0.2576,0.1766,0.1762,0.1414
21-4,21,4,1,0.1863,0.2339,0.2402,0.1439,0.1272
18-16,18,16,1,0.1826,0.2520,0.2045,0.1224,0.1516
21-22,21,22,1,0.1824,0.2261,0.2250,0.1549,0.1236
19-25,19,25,1,0.1810,0.2702,0.1831,0.1264,0.1443
19-24,19,24,1,0.1757,0.1887,0.2396,0.1323,0.1424
19-19,19,19,1,0.1738,0.1907,0.1986,0.1341,0.1719
16-1,16,1,1,0.1662,0.2738,0.1247,0.1286,0.1378
14-7,14,7,1,0.1640,0.3063,0.1507,0.0749,0.1240
22-1,22,1,1,0.1580,0.2138,0.1146,0.1604,0.1433
17-18,17,18,1,0.0917,0.2913,0.0165,0.0337,0.0255
