bin,a,b,n_overlap,jaccard
0k,zero_shot,lora_base,6,0.2308
0k,zero_shot,y2_base,5,0.1852
0k,zero_shot,y2_rpe_cur_L16k,5,0.1852
0k,lora_base,y2_base,9,0.3913
0k,lora_base,y2_rpe_cur_L16k,10,0.4545
0k,y2_base,y2_rpe_cur_L16k,8,0.3333
1k,zero_shot,lora_base,6,0.2308
1k,zero_shot,y2_base,7,0.2800
1k,zero_shot,y2_rpe_cur_L16k,5,0.1852
1k,lora_base,y2_base,10,0.4545
1k,lora_base,y2_rpe_cur_L16k,11,0.5238
1k,y2_base,y2_rpe_cur_L16k,10,0.4545
2k,zero_shot,lora_base,7,0.2800
2k,zero_shot,y2_base,6,0.2308
2k,zero_shot,y2_rpe_cur_L16k,5,0.1852
2k,lora_base,y2_base,13,0.6842
2k,lora_base,y2_rpe_cur_L16k,12,0.6000
2k,y2_base,y2_rpe_cur_L16k,11,0.5238
4k,zero_shot,lora_base,7,0.2800
4k,zero_shot,y2_base,7,0.2800
4k,zero_shot,y2_rpe_cur_L16k,7,0.2800
4k,lora_base,y2_base,11,0.5238
4k,lora_base,y2_rpe_cur_L16k,12,0.6000
4k,y2_base,y2_rpe_cur_L16k,9,0.3913
8k,zero_shot,lora_base,7,0.2800
8k,zero_shot,y2_base,9,0.3913
8k,zero_shot,y2_rpe_cur_L16k,8,0.3333
8k,lora_base,y2_base,12,0.6000
8k,lora_base,y2_rpe_cur_L16k,12,0.6000
8k,y2_base,y2_rpe_cur_L16k,10,0.4545
16k,zero_shot,lora_base,8,0.3333
16k,zero_shot,y2_base,8,0.3333
16k,zero_shot,y2_rpe_cur_L16k,8,0.3333
16k,lora_base,y2_base,12,0.6000
16k,lora_base,y2_rpe_cur_L16k,12,0.6000
16k,y2_base,y2_rpe_cur_L16k,11,0.5238
32k,zero_shot,lora_base,9,0.3913
32k,zero_shot,y2_base,9,0.3913
32k,zero_shot,y2_rpe_cur_L16k,9,0.3913
32k,lora_base,y2_base,14,0.7778
32k,lora_base,y2_rpe_cur_L16k,13,0.6842
32k,y2_base,y2_rpe_cur_L16k,14,0.7778
64k,zero_shot,lora_base,9,0.3913
64k,zero_shot,y2_base,11,0.5238
64k,zero_shot,y2_rpe_cur_L16k,10,0.4545
64k,lora_base,y2_base,14,0.7778
64k,lora_base,y2_rpe_cur_L16k,13,0.6842
64k,y2_base,y2_rpe_cur_L16k,14,0.7778
128k,zero_shot,lora_base,8,0.3333
128k,zero_shot,y2_base,11,0.5238
128k,zero_shot,y2_rpe_cur_L16k,10,0.4545
128k,lora_base,y2_base,11,0.5238
128k,lora_base,y2_rpe_cur_L16k,11,0.5238
128k,y2_base,y2_rpe_cur_L16k,11,0.5238
