zone,bin,n,y2_base_only,lora_base_only,both_correct,both_wrong,net_a_minus_b
beg,1k,116,8,19,85,4,-11
beg,2k,203,25,22,137,19,3
beg,4k,227,18,28,153,28,-10
beg,8k,227,24,28,139,36,-4
beg,16k,227,16,35,149,27,-19
beg,32k,227,31,46,116,34,-15
beg,64k,227,31,41,105,50,-10
beg,128k,227,38,49,86,54,-11
mid,1k,104,5,17,78,4,-12
mid,2k,202,15,31,144,12,-16
mid,4k,227,21,28,148,30,-7
mid,8k,227,17,43,150,17,-26
mid,16k,227,39,40,87,61,-1
mid,32k,227,28,35,137,27,-7
mid,64k,227,27,39,122,39,-12
mid,128k,227,38,54,70,65,-16
end,1k,108,3,15,83,7,-12
end,2k,202,9,19,164,10,-10
end,4k,227,11,21,186,9,-10
end,8k,227,16,14,182,15,2
end,16k,227,17,24,175,11,-7
end,32k,227,22,23,169,13,-1
end,64k,227,31,29,147,20,2
end,128k,227,32,48,114,33,-16
