model,zone,1k,2k,4k,8k,16k,32k,64k,128k
lora_base,beg,0.8787878787878788,0.7704918032786885,0.7777777777777778,0.714975845410628,0.8019323671497585,0.6956521739130435,0.6280193236714976,0.5700483091787439
lora_base,mid,0.9080459770114943,0.8516483516483516,0.7632850241545893,0.8405797101449275,0.5362318840579711,0.748792270531401,0.6859903381642513,0.5169082125603864
lora_base,end,0.8913043478260869,0.8956043956043956,0.9033816425120773,0.8502415458937198,0.8695652173913043,0.8357487922705314,0.7632850241545893,0.6908212560386473
y2_base,beg,0.7676767676767676,0.7868852459016393,0.7342995169082126,0.7004830917874396,0.7101449275362319,0.6376811594202898,0.5797101449275363,0.5169082125603864
y2_base,mid,0.7586206896551724,0.7692307692307693,0.7342995169082126,0.7246376811594203,0.5265700483091788,0.7053140096618358,0.6376811594202898,0.45410628019323673
y2_base,end,0.7608695652173914,0.8406593406593407,0.855072463768116,0.8599033816425121,0.8405797101449275,0.8405797101449275,0.7681159420289855,0.6280193236714976
y2_rpe_cur_L16k,beg,0.8080808080808081,0.825136612021858,0.7632850241545893,0.7632850241545893,0.8067632850241546,0.7439613526570048,0.5797101449275363,0.6763285024154589
y2_rpe_cur_L16k,mid,0.8620689655172413,0.8076923076923077,0.8309178743961353,0.8502415458937198,0.7246376811594203,0.7198067632850241,0.7053140096618358,0.5410628019323671
y2_rpe_cur_L16k,end,0.8478260869565217,0.8516483516483516,0.855072463768116,0.8792270531400966,0.8985507246376812,0.8985507246376812,0.8840579710144928,0.821256038647343
