model,target_entries,1k,2k,4k,8k,16k,32k,64k,128k
lora_base,0,0.98,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8833333333333333,0.9,0.8833333333333333,0.8833333333333333
lora_base,2,0.9,0.844789356984479,0.8203592814371258,0.780439121756487,0.7225548902195609,0.7604790419161677,0.7005988023952096,0.5828343313373253
lora_base,3,0.8787878787878788,0.7857142857142857,0.7904761904761904,0.8857142857142857,0.7904761904761904,0.7428571428571429,0.6285714285714286,0.6476190476190476
lora_base,4,0.6,1.0,0.8,0.9333333333333333,0.8,0.8666666666666667,0.8666666666666667,0.5333333333333333
y2_base,0,1.0,0.95,0.9333333333333333,0.9166666666666666,0.8833333333333333,0.85,0.8666666666666667,0.7833333333333333
y2_base,2,0.75,0.7871396895787139,0.7784431137724551,0.7584830339321357,0.6906187624750499,0.7145708582834331,0.6686626746506986,0.530938123752495
y2_base,3,0.8484848484848485,0.8333333333333334,0.7428571428571429,0.7619047619047619,0.6857142857142857,0.7714285714285715,0.6190476190476191,0.5047619047619047
y2_base,4,0.8,1.0,0.8666666666666667,0.8666666666666667,0.8,0.8666666666666667,0.7333333333333333,0.8
y2_rpe_cur_L16k,0,0.96,0.9666666666666667,0.9666666666666667,0.9166666666666666,0.9333333333333333,0.9666666666666667,0.9166666666666666,0.8833333333333333
y2_rpe_cur_L16k,2,0.85,0.8270509977827051,0.8323353293413174,0.8423153692614771,0.8223552894211577,0.7964071856287425,0.7305389221556886,0.688622754491018
y2_rpe_cur_L16k,3,0.7272727272727273,0.8095238095238095,0.7333333333333333,0.7619047619047619,0.7428571428571429,0.7142857142857143,0.6761904761904762,0.6
y2_rpe_cur_L16k,4,1.0,1.0,0.8666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.8,0.9333333333333333
