zone,bin,n,agree_lora_base_y2_base,agree_lora_base_y2_rpe_cur_L16k,agree_y2_base_y2_rpe_cur_L16k,all3_correct,all3_wrong,exactly_one_correct,exactly_two_correct
beg,1k,116,0.7672413793103449,0.8189655172413793,0.8448275862068966,0.6896551724137931,0.02586206896551724,0.10344827586206896,0.1810344827586207
beg,2k,203,0.7684729064039408,0.7684729064039408,0.7635467980295566,0.6108374384236454,0.03940886699507389,0.11330049261083744,0.23645320197044334
beg,4k,227,0.7973568281938326,0.7709251101321586,0.7709251101321586,0.6035242290748899,0.06607929515418502,0.14096916299559473,0.1894273127753304
beg,8k,227,0.7709251101321586,0.7224669603524229,0.7577092511013216,0.5374449339207048,0.0881057268722467,0.13215859030837004,0.2422907488986784
beg,16k,227,0.775330396475771,0.762114537444934,0.7048458149779736,0.5770925110132159,0.04405286343612335,0.14096916299559473,0.23788546255506607
beg,32k,227,0.6607929515418502,0.7268722466960352,0.6784140969162996,0.44493392070484583,0.0881057268722467,0.14096916299559473,0.32599118942731276
beg,64k,227,0.6828193832599119,0.6828193832599119,0.6740088105726872,0.3744493392070485,0.14537444933920704,0.23348017621145375,0.24669603524229075
beg,128k,227,0.6167400881057269,0.6299559471365639,0.6607929515418502,0.3303964757709251,0.12334801762114538,0.2422907488986784,0.3039647577092511
mid,1k,104,0.7884615384615384,0.8653846153846154,0.7884615384615384,0.7019230769230769,0.019230769230769232,0.07692307692307693,0.20192307692307693
mid,2k,202,0.7722772277227723,0.806930693069307,0.7772277227722773,0.6485148514851485,0.0297029702970297,0.11386138613861387,0.2079207920792079
mid,4k,227,0.7841409691629956,0.748898678414097,0.7533039647577092,0.6035242290748899,0.039647577092511016,0.16299559471365638,0.19383259911894274
mid,8k,227,0.73568281938326,0.775330396475771,0.748898678414097,0.6035242290748899,0.02643171806167401,0.11013215859030837,0.2599118942731278
mid,16k,227,0.6519823788546255,0.6651982378854625,0.6784140969162996,0.3656387665198238,0.13215859030837004,0.2422907488986784,0.2599118942731278
mid,32k,227,0.7224669603524229,0.7180616740088106,0.7577092511013216,0.5242290748898678,0.07488986784140969,0.14977973568281938,0.2511013215859031
mid,64k,227,0.7092511013215859,0.6916299559471366,0.7797356828193832,0.4845814977973568,0.10572687224669604,0.18061674008810572,0.2290748898678414
mid,128k,227,0.5947136563876652,0.6343612334801763,0.6607929515418502,0.2422907488986784,0.2026431718061674,0.24669603524229075,0.30837004405286345
end,1k,108,0.8333333333333334,0.8611111111111112,0.75,0.6944444444444444,0.027777777777777776,0.07407407407407407,0.2037037037037037
end,2k,202,0.8613861386138614,0.8514851485148515,0.8316831683168316,0.7475247524752475,0.024752475247524754,0.06930693069306931,0.15841584158415842
end,4k,227,0.8590308370044053,0.8414096916299559,0.8414096916299559,0.7533039647577092,0.01762114537444934,0.07048458149779736,0.15859030837004406
end,8k,227,0.8678414096916299,0.8370044052863436,0.8634361233480177,0.7533039647577092,0.030837004405286344,0.07048458149779736,0.14537444933920704
end,16k,227,0.8193832599118943,0.8193832599118943,0.7973568281938326,0.7136563876651982,0.004405286343612335,0.07488986784140969,0.20704845814977973
end,32k,227,0.801762114537445,0.8281938325991189,0.8502202643171806,0.7180616740088106,0.022026431718061675,0.08370044052863436,0.1762114537444934
end,64k,227,0.73568281938326,0.7400881057268722,0.748898678414097,0.5947136563876652,0.01762114537444934,0.1145374449339207,0.27312775330396477
end,128k,227,0.6475770925110133,0.7048458149779736,0.7048458149779736,0.46255506607929514,0.06607929515418502,0.14977973568281938,0.32158590308370044
