k,condition,bin,jaccard_vs_lora_base,jaccard_vs_published_top16,n_overlap_vs_ref
8,lora_base,0k,1.0000,0.0000,8
8,lora_base,1k,1.0000,0.0667,8
8,lora_base,2k,1.0000,0.0667,8
8,lora_base,4k,1.0000,0.0667,8
8,lora_base,8k,1.0000,0.0667,8
8,lora_base,16k,1.0000,0.1429,8
8,lora_base,32k,1.0000,0.1429,8
8,lora_base,64k,1.0000,0.1429,8
8,lora_base,128k,1.0000,0.0000,8
8,y2_base,0k,0.4545,0.0667,5
8,y2_base,1k,0.6000,0.0667,6
8,y2_base,2k,0.3333,0.0667,4
8,y2_base,4k,0.3333,0.1429,4
8,y2_base,8k,0.2308,0.1429,3
8,y2_base,16k,0.6000,0.2308,6
8,y2_base,32k,0.7778,0.2308,7
8,y2_base,64k,0.6000,0.1429,6
8,y2_base,128k,1.0000,0.0000,8
8,y2_rpe_cur_L16k,0k,0.4545,0.0000,5
8,y2_rpe_cur_L16k,1k,0.4545,0.0000,5
8,y2_rpe_cur_L16k,2k,0.3333,0.0000,4
8,y2_rpe_cur_L16k,4k,0.6000,0.0667,6
8,y2_rpe_cur_L16k,8k,0.6000,0.0667,6
8,y2_rpe_cur_L16k,16k,0.4545,0.0667,5
8,y2_rpe_cur_L16k,32k,0.6000,0.0667,6
8,y2_rpe_cur_L16k,64k,0.6000,0.1429,6
8,y2_rpe_cur_L16k,128k,0.7778,0.0667,7
16,lora_base,0k,1.0000,0.1852,16
16,lora_base,1k,1.0000,0.1429,16
16,lora_base,2k,1.0000,0.1852,16
16,lora_base,4k,1.0000,0.2308,16
16,lora_base,8k,1.0000,0.1852,16
16,lora_base,16k,1.0000,0.1852,16
16,lora_base,32k,1.0000,0.2308,16
16,lora_base,64k,1.0000,0.2308,16
16,lora_base,128k,1.0000,0.1852,16
16,y2_base,0k,0.3913,0.0667,9
16,y2_base,1k,0.4545,0.1429,10
16,y2_base,2k,0.6842,0.1034,13
16,y2_base,4k,0.5238,0.1429,11
16,y2_base,8k,0.6000,0.1429,12
16,y2_base,16k,0.6000,0.1852,12
16,y2_base,32k,0.7778,0.2800,14
16,y2_base,64k,0.7778,0.2308,14
16,y2_base,128k,0.5238,0.2308,11
16,y2_rpe_cur_L16k,0k,0.4545,0.1429,10
16,y2_rpe_cur_L16k,1k,0.5238,0.1034,11
16,y2_rpe_cur_L16k,2k,0.6000,0.1429,12
16,y2_rpe_cur_L16k,4k,0.6000,0.1852,12
16,y2_rpe_cur_L16k,8k,0.6000,0.2308,12
16,y2_rpe_cur_L16k,16k,0.6000,0.2308,12
16,y2_rpe_cur_L16k,32k,0.6842,0.1852,13
16,y2_rpe_cur_L16k,64k,0.6842,0.1852,13
16,y2_rpe_cur_L16k,128k,0.5238,0.1852,11
32,lora_base,0k,1.0000,0.1163,32
32,lora_base,1k,1.0000,0.2000,32
32,lora_base,2k,1.0000,0.1707,32
32,lora_base,4k,1.0000,0.1707,32
32,lora_base,8k,1.0000,0.2632,32
32,lora_base,16k,1.0000,0.2632,32
32,lora_base,32k,1.0000,0.2308,32
32,lora_base,64k,1.0000,0.2308,32
32,lora_base,128k,1.0000,0.2308,32
32,y2_base,0k,0.5610,0.1163,23
32,y2_base,1k,0.7297,0.1707,27
32,y2_base,2k,0.6000,0.1429,24
32,y2_base,4k,0.6000,0.1707,24
32,y2_base,8k,0.6410,0.2000,25
32,y2_base,16k,0.6842,0.2308,26
32,y2_base,32k,0.6842,0.2308,26
32,y2_base,64k,0.6410,0.2632,25
32,y2_base,128k,0.7297,0.2000,27
32,y2_rpe_cur_L16k,0k,0.5610,0.1163,23
32,y2_rpe_cur_L16k,1k,0.6410,0.1707,25
32,y2_rpe_cur_L16k,2k,0.6410,0.1707,25
32,y2_rpe_cur_L16k,4k,0.7297,0.1707,27
32,y2_rpe_cur_L16k,8k,0.6000,0.2308,24
32,y2_rpe_cur_L16k,16k,0.6000,0.2973,24
32,y2_rpe_cur_L16k,32k,0.6410,0.2632,25
32,y2_rpe_cur_L16k,64k,0.6410,0.2632,25
32,y2_rpe_cur_L16k,128k,0.6842,0.2632,26
64,lora_base,0k,1.0000,0.1594,64
64,lora_base,1k,1.0000,0.1429,64
64,lora_base,2k,1.0000,0.1594,64
64,lora_base,4k,1.0000,0.1594,64
64,lora_base,8k,1.0000,0.1765,64
64,lora_base,16k,1.0000,0.1765,64
64,lora_base,32k,1.0000,0.1765,64
64,lora_base,64k,1.0000,0.1765,64
64,lora_base,128k,1.0000,0.1429,64
64,y2_base,0k,0.6000,0.1111,48
64,y2_base,1k,0.6410,0.1268,50
64,y2_base,2k,0.6842,0.1268,52
64,y2_base,4k,0.6623,0.1765,51
64,y2_base,8k,0.6842,0.1765,52
64,y2_base,16k,0.7067,0.1594,53
64,y2_base,32k,0.6842,0.1594,52
64,y2_base,64k,0.7778,0.1594,56
64,y2_base,128k,0.8028,0.1429,57
64,y2_rpe_cur_L16k,0k,0.6000,0.0959,48
64,y2_rpe_cur_L16k,1k,0.6203,0.1268,49
64,y2_rpe_cur_L16k,2k,0.6842,0.1429,52
64,y2_rpe_cur_L16k,4k,0.6410,0.1765,50
64,y2_rpe_cur_L16k,8k,0.7067,0.1765,53
64,y2_rpe_cur_L16k,16k,0.7067,0.1594,53
64,y2_rpe_cur_L16k,32k,0.6842,0.1594,52
64,y2_rpe_cur_L16k,64k,0.7778,0.1594,56
64,y2_rpe_cur_L16k,128k,0.8028,0.1594,57
