bin,condition,k,n_samples,n_correct,mean_qr_sig,r_pointbiserial,p_pointbiserial,r_spearman,p_spearman
0k,lora_base,16,60,53,6.636008,-0.1604,2.207628e-01,-0.1694,1.957411e-01
0k,y2_base,16,60,45,6.122436,-0.0199,8.800429e-01,-0.0722,5.833788e-01
0k,y2_rpe_cur_L16k,16,60,46,5.683901,-0.1563,2.331792e-01,-0.1525,2.448883e-01
1k,lora_base,16,56,52,1.547060,-0.1661,2.210410e-01,0.0214,8.753169e-01
1k,y2_base,16,56,50,1.504938,-0.1780,1.892594e-01,-0.1179,3.869128e-01
1k,y2_rpe_cur_L16k,16,56,49,1.535568,-0.1917,1.569207e-01,-0.1654,2.232485e-01
2k,lora_base,16,60,51,6.667853,-0.1818,1.645367e-01,-0.2547,4.954175e-02
2k,y2_base,16,60,50,6.372106,-0.2159,9.756175e-02,-0.1963,1.328673e-01
2k,y2_rpe_cur_L16k,16,60,53,6.400697,-0.0178,8.924708e-01,-0.0105,9.365814e-01
4k,lora_base,16,60,53,6.335567,-0.0503,7.024782e-01,-0.0884,5.016223e-01
4k,y2_base,16,60,45,5.621406,-0.1195,3.630127e-01,-0.1256,3.390651e-01
4k,y2_rpe_cur_L16k,16,60,52,6.174509,0.2086,1.097332e-01,0.2208,8.997683e-02
8k,lora_base,16,60,47,6.527651,-0.1932,1.390445e-01,-0.1413,2.814238e-01
8k,y2_base,16,60,45,5.437118,-0.0974,4.591565e-01,-0.0567,6.671154e-01
8k,y2_rpe_cur_L16k,16,60,51,6.168107,-0.2518,5.230939e-02,-0.3059,1.745466e-02
16k,lora_base,16,60,47,6.161551,0.0326,8.045470e-01,0.0362,7.835774e-01
16k,y2_base,16,60,45,5.418111,0.1721,1.885827e-01,0.1611,2.187215e-01
16k,y2_rpe_cur_L16k,16,60,48,5.592024,-0.2443,5.990927e-02,-0.2382,6.685081e-02
32k,lora_base,16,60,37,6.568640,0.0010,9.937464e-01,-0.0109,9.342040e-01
32k,y2_base,16,60,34,5.515846,0.0545,6.789063e-01,0.0369,7.795470e-01
32k,y2_rpe_cur_L16k,16,60,50,5.754278,-0.0831,5.279750e-01,-0.0697,5.965565e-01
64k,lora_base,16,60,28,5.765568,-0.0730,5.794088e-01,-0.1080,4.113148e-01
64k,y2_base,16,60,28,5.044063,-0.1320,3.147374e-01,-0.1640,2.106128e-01
64k,y2_rpe_cur_L16k,16,60,39,4.854097,-0.2702,3.683306e-02,-0.2391,6.578707e-02
128k,lora_base,16,60,21,4.438411,-0.0101,9.387386e-01,0.0595,6.514420e-01
128k,y2_base,16,60,23,3.519114,-0.0826,5.301358e-01,-0.1079,4.119672e-01
128k,y2_rpe_cur_L16k,16,60,39,3.672360,-0.0970,4.611238e-01,-0.1362,2.994493e-01
