condition,bin,mean_score,mean_rank,median_rank,in_top16,in_top32,in_top64
lora_base,0k,0.269216,65.88,48.5,5,5,11
lora_base,1k,0.065159,56.75,32.0,4,8,10
lora_base,2k,0.279605,58.94,39.5,5,7,11
lora_base,4k,0.271100,59.06,38.5,6,7,11
lora_base,8k,0.290992,52.62,28.5,5,10,12
lora_base,16k,0.281810,51.31,26.5,5,10,12
lora_base,32k,0.294728,49.50,27.5,6,9,12
lora_base,64k,0.248942,52.75,26.0,6,9,12
lora_base,128k,0.151516,70.25,21.5,5,9,10
y2_base,0k,0.249911,78.19,67.0,2,5,8
y2_base,1k,0.064874,67.50,40.5,4,7,9
y2_base,2k,0.265734,65.88,50.0,3,6,9
y2_base,4k,0.254220,62.50,39.5,4,7,12
y2_base,8k,0.253740,61.00,33.0,4,8,12
y2_base,16k,0.243390,54.88,27.0,5,9,11
y2_base,32k,0.248034,48.06,24.0,7,9,11
y2_base,64k,0.214741,47.25,26.5,6,10,11
y2_base,128k,0.124252,58.50,33.0,6,8,10
y2_rpe_cur_L16k,0k,0.225900,90.06,69.5,4,5,7
y2_rpe_cur_L16k,1k,0.057189,86.44,55.5,3,7,9
y2_rpe_cur_L16k,2k,0.252117,69.62,53.5,4,7,10
y2_rpe_cur_L16k,4k,0.257725,58.50,34.0,5,7,12
y2_rpe_cur_L16k,8k,0.268739,47.62,25.5,6,9,12
y2_rpe_cur_L16k,16k,0.248994,48.44,23.5,6,11,11
y2_rpe_cur_L16k,32k,0.250689,47.38,21.5,5,10,11
y2_rpe_cur_L16k,64k,0.206293,46.19,22.5,5,10,11
y2_rpe_cur_L16k,128k,0.133657,53.25,21.5,5,10,11
