bin,condition,mean_top16_score,babilong_accuracy
0k,lora_base,0.414751,0.8833
0k,y2_base,0.382652,0.7500
0k,y2_rpe_cur_L16k,0.355244,0.7667
1k,lora_base,0.096691,0.9286
1k,y2_base,0.094059,0.8929
1k,y2_rpe_cur_L16k,0.095973,0.8750
2k,lora_base,0.416741,0.8500
2k,y2_base,0.398257,0.8333
2k,y2_rpe_cur_L16k,0.400044,0.8833
4k,lora_base,0.395973,0.8833
4k,y2_base,0.351338,0.7500
4k,y2_rpe_cur_L16k,0.385907,0.8667
8k,lora_base,0.407978,0.7833
8k,y2_base,0.339820,0.7500
8k,y2_rpe_cur_L16k,0.385507,0.8500
16k,lora_base,0.385097,0.7833
16k,y2_base,0.338632,0.7500
16k,y2_rpe_cur_L16k,0.349501,0.8000
32k,lora_base,0.410540,0.6167
32k,y2_base,0.344740,0.5667
32k,y2_rpe_cur_L16k,0.359642,0.8333
64k,lora_base,0.360348,0.4667
64k,y2_base,0.315254,0.4667
64k,y2_rpe_cur_L16k,0.303381,0.6500
128k,lora_base,0.277401,0.3500
128k,y2_base,0.219945,0.3833
128k,y2_rpe_cur_L16k,0.229523,0.6500
