model,bin,mean_top16,max_top16,n_above_threshold,babilong_acc,top16_heads
zero_shot,(BEIR-NQ),0.3038,0.3804,16,,19-15;19-22;16-0;16-20;21-25;21-5;14-7;19-17;22-7;19-20;17-18;16-14;19-23;16-1;21-14;19-25
lora_base,0k,0.4148,0.5055,45,0.8833,11-27;19-20;19-22;12-24;16-4;16-1;18-16;19-15;19-18;14-8;11-23;8-24;16-0;19-6;16-6;16-20
lora_base,1k,0.0967,0.1180,0,0.9464,19-22;19-20;19-15;18-16;11-23;11-27;16-20;14-8;20-26;12-24;19-23;16-4;19-6;19-18;16-1;8-24
lora_base,2k,0.4167,0.4730,40,0.9000,11-27;19-20;19-22;18-16;19-15;11-23;16-4;16-20;20-26;19-18;19-6;16-1;19-23;12-24;11-24;16-0
lora_base,4k,0.3960,0.4529,35,0.9167,18-16;19-22;19-20;11-27;16-20;19-15;19-6;20-26;16-4;11-23;16-0;16-1;19-23;11-24;19-18;20-21
lora_base,8k,0.4080,0.4642,37,0.8667,19-22;18-16;19-15;16-20;19-20;16-4;20-26;19-23;19-6;11-27;19-18;16-0;21-5;11-24;14-8;20-21
lora_base,16k,0.3851,0.4696,33,0.8000,19-22;18-16;16-20;19-20;19-15;16-4;21-5;16-0;19-23;20-26;11-27;19-18;19-6;11-24;17-24;16-14
lora_base,32k,0.4105,0.4908,38,0.7167,19-20;19-22;16-20;19-15;18-16;21-5;16-0;19-18;19-23;19-6;17-24;19-17;16-14;18-10;16-4;20-26
lora_base,64k,0.3603,0.4607,24,0.6667,19-22;19-20;16-20;16-0;18-16;19-6;19-15;19-23;17-24;19-18;16-14;13-16;19-17;18-10;21-5;21-4
lora_base,128k,0.2774,0.4069,8,0.6167,19-22;19-20;19-15;19-17;19-23;21-5;19-6;19-18;21-4;19-24;16-0;21-22;20-21;21-25;18-10;18-16
y2_base,0k,0.4086,0.4777,43,0.7500,11-27;12-24;11-23;16-4;19-20;19-15;16-0;11-24;9-2;19-22;21-22;16-1;12-7;20-26;12-15;17-24
y2_base,1k,0.1007,0.1222,0,0.8750,19-15;11-23;12-24;19-22;11-27;11-24;19-20;16-20;18-16;21-5;12-7;16-0;16-4;21-22;24-21;16-1
y2_base,2k,0.4096,0.5071,45,0.8667,11-24;11-27;12-24;12-7;11-23;19-15;16-0;18-16;16-4;19-22;16-20;12-15;19-20;19-6;20-26;21-5
y2_base,4k,0.3737,0.4571,38,0.8833,11-24;12-24;12-7;11-27;16-0;18-16;16-20;19-22;19-15;21-5;19-6;11-23;19-20;16-14;24-21;16-4
y2_base,8k,0.3652,0.4123,33,0.8167,19-22;11-24;12-7;16-0;19-20;21-5;18-16;16-14;16-20;12-24;19-15;19-6;20-26;11-27;19-23;21-25
y2_base,16k,0.3450,0.4206,24,0.8000,19-22;19-20;21-5;18-16;16-0;16-20;11-24;16-14;19-6;19-23;19-15;12-7;20-26;21-22;18-10;20-21
y2_base,32k,0.3554,0.4437,26,0.7833,19-22;19-20;16-20;21-5;16-0;18-16;16-14;19-15;19-6;11-24;19-23;19-17;18-10;20-21;17-24;19-18
y2_base,64k,0.3222,0.4115,14,0.7000,19-22;19-20;21-5;19-15;16-0;19-17;16-20;19-6;19-23;18-16;19-18;17-24;21-25;16-14;22-7;18-10
y2_base,128k,0.2302,0.3263,6,0.5833,19-22;19-15;19-20;19-17;21-5;19-6;19-23;19-18;21-25;22-7;16-0;20-21;22-25;16-20;22-1;16-14
y2_rpe_cur_L16k,0k,0.3833,0.4791,32,0.8500,19-20;12-24;19-15;19-18;11-23;19-22;12-7;18-16;19-23;11-27;16-1;8-24;10-20;18-10;12-12;19-19
y2_rpe_cur_L16k,1k,0.1003,0.1367,0,0.8929,19-20;19-15;19-22;19-23;18-16;11-23;19-18;12-7;11-24;12-24;11-27;21-5;19-6;19-19;18-10;14-8
y2_rpe_cur_L16k,2k,0.4126,0.5317,26,0.7833,19-15;19-20;18-16;11-24;19-23;19-22;19-18;19-6;11-27;18-10;11-23;16-20;12-7;12-24;14-8;19-19
y2_rpe_cur_L16k,4k,0.3994,0.5085,26,0.8500,19-15;19-20;18-16;19-22;19-6;11-24;19-23;16-20;18-10;19-18;14-8;11-27;20-26;19-19;21-5;16-1
y2_rpe_cur_L16k,8k,0.3986,0.5051,28,0.8833,19-15;18-16;19-20;19-22;16-20;19-23;19-6;19-18;18-10;11-24;21-5;14-8;16-0;19-19;16-1;24-21
y2_rpe_cur_L16k,16k,0.3639,0.4411,22,0.8667,19-20;19-22;16-20;18-16;19-23;19-15;19-6;18-10;21-5;11-24;16-0;19-18;24-21;17-24;19-19;16-1
y2_rpe_cur_L16k,32k,0.3750,0.4842,23,0.8667,19-20;19-22;19-15;16-20;19-23;18-16;21-5;19-6;16-0;18-10;14-7;19-17;17-24;11-24;20-17;19-18
y2_rpe_cur_L16k,64k,0.3188,0.4067,13,0.8167,19-20;19-22;19-15;16-20;16-0;19-23;21-5;19-17;18-16;18-10;19-6;17-24;21-25;20-17;16-14;24-21
y2_rpe_cur_L16k,128k,0.2439,0.3590,7,0.7833,19-20;19-22;19-15;21-5;19-17;19-23;19-6;16-0;16-20;24-21;20-17;18-10;21-25;19-18;21-14;19-19
